Opening,Budget,Year,actor_Robert Downey Jr.,month_May,month_Sept
247966675,245000000,15,0,0,0
220009584,620181382,17,0,0,0
208806270,150000000,15,0,0,0
191271109,250000000,15,1,1,0
179139142,250000000,16,0,1,0
174144585,200000000,13,1,1,0
169189427,125000000,11,0,0,0
166007347,250000000,16,0,0,0
160887295,250000000,12,0,0,0
158411483,185000000,8,0,0,0
158074286,130000000,13,0,0,0
155081681,200000000,16,0,0,0
152535747,78000000,12,0,0,0
151116516,258000000,7,0,1,0
147187040,190000000,15,0,0,0
146510104,200000000,17,0,1,0
142839137,50000000,9,0,0,0
141067634,120000000,12,0,0,0
135060273,200000000,16,0,0,0
133682248,175000000,16,0,0,0
132434639,58000000,16,0,0,0
128122480,200000000,10,1,1,0
123403419,35000000,17,0,0,1
122744989,180000000,17,0,0,0
121897634,125000000,14,0,0,0
121629270,121629270,7,0,1,0
117027503,175000000,17,0,0,0
116619362,225000000,13,0,0,0
115718405,115200000,15,0,0,0
114844116,139000000,2,0,1,0
110307189,200000000,10,0,0,0
108966307,200000000,9,0,0,0
108435841,113000000,5,0,1,0
108037878,108037878,4,0,1,0
104352905,104352905,16,0,0,0
103251471,149000000,17,0,0,0
102750665,210000000,6,0,1,0
102685961,150000000,5,0,0,0
102665981,160000000,15,0,0,0
100137835,185000000,8,0,1,0
100038390,210000000,14,0,0,0
98786705,250000000,17,0,0,0
98618668,140000000,8,1,1,0
97852865,195000000,11,0,0,0
97375245,160000000,13,0,1,0
95023721,170000000,14,0,0,0
94320883,170000000,14,0,0,0
93842239,300000000,17,0,0,0
93687367,130000000,4,0,0,0
91774413,7241362,3,0,1,0
91608337,200000000,14,0,1,0
90823660,200000000,14,0,1,0
90440272,175000000,15,0,0,0
90151958,90151958,11,0,1,0
89269066,58800000,15,0,0,0
88411916,97000000,17,0,0,0
88357488,100000000,2,0,0,0
88156227,200000000,4,0,0,0
86198765,125000000,11,0,0,0
85946294,80000000,11,0,1,0
85737841,170000000,13,0,0,0
85171450,40000000,15,0,0,0
85058311,165000000,16,0,0,0
84617303,180000000,12,0,0,0
83517315,83517315,13,0,0,0
82429469,200000000,13,0,0,0
80027814,115000000,2,0,1,0
79110453,215000000,13,0,0,0
77835727,250000000,9,0,0,0
77211321,150000000,7,0,0,0
77108414,150000000,7,0,0,0
77073388,125000000,6,0,1,0
77025481,237000000,9,0,0,0
75204289,150000000,9,0,1,0
75063401,150000000,16,0,0,0
74403387,180000000,16,0,0,0
74036787,74036787,7,0,0,0
73645197,225000000,13,0,0,0
73071188,63000000,2,0,0,0
72629713,94000000,3,0,0,0
72611427,170000000,14,0,0,0
72434025,72434025,17,0,0,0
70885301,65000000,7,0,0,0
70838207,70838207,10,0,1,0
70502384,150000000,7,0,0,0
70403148,245000000,15,0,0,0
70251710,94000000,3,0,1,0
70165559,190000000,13,0,1,0
69637740,37000000,8,0,0,0
69431298,180000000,14,0,1,0
69283690,110000000,7,0,0,0
69216890,29000000,15,0,1,0
69050279,60000000,14,0,0,0
68743584,125000000,4,0,1,0
68139035,98000000,1,0,1,0
68108790,175000000,9,0,1,0
68033544,68033544,6,0,0,0
67953330,81000000,3,0,1,0
67408222,90000000,1,0,0,0
67391326,400738009,13,0,0,0
66411834,66411834,13,0,0,0
66323594,185000000,12,0,0,0
66135507,200000000,11,0,0,0
65769562,178000000,16,0,1,0
65723338,150000000,11,0,1,0
65556312,180000000,5,0,0,0
65237614,200000000,9,0,0,0
65058524,140000000,11,0,0,0
64878725,132000000,5,0,0,0
64832191,68000000,10,0,0,0
63106589,63106589,8,0,0,0
63087526,180000000,8,0,0,0
62983253,230000000,17,0,1,0
62785337,160000000,10,0,0,0
62603879,150000000,8,0,0,0
62577067,115000000,1,0,0,0
62304277,90000000,9,1,0,0
62128420,137000000,3,0,0,0
62007528,94000000,2,0,0,0
62004688,230000000,12,0,0,0
61025472,185000000,17,0,0,0
60239130,130000000,8,0,0,0
60200180,28000000,15,0,0,0
60119509,120000000,6,0,0,0
60117080,60117080,2,0,0,0
59253211,59253211,16,0,0,0
59215365,120000000,16,0,0,0
59078912,75177654,1,0,1,0
58003121,87000000,1,0,0,0
57225526,130000000,15,0,0,0
57071445,50000000,14,0,0,0
57038404,65000000,8,0,1,0
56631401,56631401,16,0,0,0
56397125,56397125,10,0,0,0
56262929,150000000,17,0,0,0
56217700,170000000,12,0,0,0
56215889,56215889,14,0,0,0
56178450,56178450,5,0,0,0
55785112,100000000,13,0,0,0
55665805,5031753,10,0,0,0
55520089,150000000,15,0,0,0
55414050,150000000,8,0,0,0
55365012,74000000,15,0,0,0
55214334,130000000,9,0,0,0
55101604,160000000,11,0,0,0
55082330,55082330,0,0,0,0
55034805,225000000,8,0,1,0
54806191,54806191,11,0,0,0
54724334,250000000,14,0,0,0
54713046,175000000,9,0,0,0
54607747,85000000,14,0,0,0
54588173,110000000,15,0,1,0
54471475,75000000,0,0,0,0
54415205,50000000,12,0,0,0
54308575,108000000,15,0,0,0
54173286,150000000,9,0,1,0
54155312,84000000,2,0,0,0
53688680,175000000,17,0,0,0
53174303,200000000,11,0,0,0
53113752,120000000,13,0,0,0
53003468,80000000,17,0,0,0
52568183,5000000,11,0,0,0
52535096,209000000,6,0,0,0
52521865,75000000,4,0,0,0
52148751,140000000,2,0,0,0
51240555,41000000,2,0,0,0
51050101,130000000,12,0,0,0
50927085,75000000,8,0,0,0
50802605,175000000,17,0,0,0
50771645,93000000,1,0,0,0
50746142,50746142,4,0,0,0
50513488,100000000,17,0,0,0
50472480,76000000,3,0,0,0
50342878,50342878,5,0,0,0
50198902,50198902,17,0,0,0
