,Agency,Tweets ago,compound
0,BBC,1,0.0
1,BBC,2,-0.4215
2,BBC,3,0.4939
3,BBC,4,-0.1027
4,BBC,5,0.0
5,BBC,6,0.3182
6,BBC,7,-0.0644
7,BBC,8,0.6997
8,BBC,9,0.8439
9,BBC,10,0.7269
10,BBC,11,0.6246
11,BBC,12,0.0
12,BBC,13,0.4404
13,BBC,14,0.5994
14,BBC,15,0.7901
15,BBC,16,0.4215
16,BBC,17,-0.2732
17,BBC,18,0.5023
18,BBC,19,0.0
19,BBC,20,-0.8555
20,BBC,21,0.6124
21,BBC,22,0.4472
22,BBC,23,0.1531
23,BBC,24,0.0
24,BBC,25,-0.1779
25,BBC,26,0.0
26,BBC,27,-0.6621
27,BBC,28,0.0
28,BBC,29,0.0
29,BBC,30,0.0
30,BBC,31,0.6369
31,BBC,32,0.0
32,BBC,33,0.4199
33,BBC,34,0.7845
34,BBC,35,0.7717
35,BBC,36,0.8384
36,BBC,37,0.8126
37,BBC,38,0.0
38,BBC,39,0.5267
39,BBC,40,0.7506
40,BBC,41,0.0
41,BBC,42,0.0
42,BBC,43,0.0
43,BBC,44,0.4019
44,BBC,45,0.8468
45,BBC,46,0.4215
46,BBC,47,-0.3182
47,BBC,48,0.4588
48,BBC,49,0.6369
49,BBC,50,0.3382
50,BBC,51,0.1779
51,BBC,52,0.0498
52,BBC,53,0.802
53,BBC,54,0.2263
54,BBC,55,0.0
55,BBC,56,0.4939
56,BBC,57,-0.765
57,BBC,58,0.7003
58,BBC,59,0.0
59,BBC,60,0.0
60,BBC,61,0.0
61,BBC,62,0.0
62,BBC,63,0.5141
63,BBC,64,0.657
64,BBC,65,0.0
65,BBC,66,0.6249
66,BBC,67,0.296
67,BBC,68,0.1695
68,BBC,69,-0.7717
69,BBC,70,0.0
70,BBC,71,0.0
71,BBC,72,-0.6705
72,BBC,73,0.0
73,BBC,74,0.0
74,BBC,75,0.0
75,BBC,76,0.4754
76,BBC,77,0.0
77,BBC,78,-0.4404
78,BBC,79,-0.296
79,BBC,80,-0.5514
80,BBC,81,0.0
81,BBC,82,-0.296
82,BBC,83,-0.3612
83,BBC,84,0.6114
84,BBC,85,-0.3612
85,BBC,86,0.5719
86,BBC,87,0.0
87,BBC,88,0.7569
88,BBC,89,0.0
89,BBC,90,0.0
90,BBC,91,0.2732
91,BBC,92,-0.4767
92,BBC,93,0.4588
93,BBC,94,0.0
94,BBC,95,0.0
95,BBC,96,0.9184
96,BBC,97,0.0
97,BBC,98,0.7684
98,BBC,99,0.0
99,BBC,100,-0.5095
100,CBS,1,0.6705
101,CBS,2,0.3818
102,CBS,3,0.4404
103,CBS,4,0.0
104,CBS,5,0.7096
105,CBS,6,0.7096
106,CBS,7,0.4939
107,CBS,8,-0.6981
108,CBS,9,0.4547
109,CBS,10,0.8591
110,CBS,11,0.4885
111,CBS,12,0.5994
112,CBS,13,0.7717
113,CBS,14,0.6908
114,CBS,15,0.0
115,CBS,16,0.0
116,CBS,17,0.0
117,CBS,18,0.4404
118,CBS,19,0.5562
119,CBS,20,0.0
120,CBS,21,0.0
121,CBS,22,0.4482
122,CBS,23,0.784
123,CBS,24,0.9359
124,CBS,25,-0.5423
125,CBS,26,0.0
126,CBS,27,0.0
127,CBS,28,0.7644
128,CBS,29,0.0
129,CBS,30,0.0
130,CBS,31,0.5093
131,CBS,32,0.0
132,CBS,33,0.0
133,CBS,34,0.6808
134,CBS,35,0.4404
135,CBS,36,-0.4019
136,CBS,37,0.3612
137,CBS,38,0.6124
138,CBS,39,0.3182
139,CBS,40,0.68
140,CBS,41,0.8619
141,CBS,42,0.0
142,CBS,43,0.7506
143,CBS,44,0.0
144,CBS,45,0.0
145,CBS,46,0.8478
146,CBS,47,-0.5859
147,CBS,48,0.0516
148,CBS,49,0.5574
149,CBS,50,0.0
150,CBS,51,0.0772
151,CBS,52,0.0
152,CBS,53,0.1531
153,CBS,54,0.0
154,CBS,55,0.8268
155,CBS,56,-0.0772
156,CBS,57,0.4019
157,CBS,58,0.4003
158,CBS,59,0.6114
159,CBS,60,0.0
160,CBS,61,0.0
161,CBS,62,0.1139
162,CBS,63,0.1007
163,CBS,64,0.4588
164,CBS,65,0.1779
165,CBS,66,-0.2263
166,CBS,67,-0.4767
167,CBS,68,0.4939
168,CBS,69,0.5093
169,CBS,70,0.8261
170,CBS,71,0.8309
171,CBS,72,0.6588
172,CBS,73,-0.5106
173,CBS,74,0.0
174,CBS,75,0.7525
175,CBS,76,0.0
176,CBS,77,0.8516
177,CBS,78,0.8442
178,CBS,79,0.923
179,CBS,80,0.5994
180,CBS,81,0.8834
181,CBS,82,0.8553
182,CBS,83,0.8553
183,CBS,84,0.9215
184,CBS,85,0.0
185,CBS,86,0.5994
186,CBS,87,0.6908
187,CBS,88,0.0
188,CBS,89,-0.296
189,CBS,90,0.0
190,CBS,91,0.3818
191,CBS,92,0.5093
192,CBS,93,0.0
193,CBS,94,0.7783
194,CBS,95,0.9259
195,CBS,96,0.0
196,CBS,97,0.5106
197,CBS,98,0.1531
198,CBS,99,0.3182
199,CBS,100,0.6597
200,CNN,1,0.9069
201,CNN,2,-0.1027
202,CNN,3,0.3182
203,CNN,4,-0.3612
204,CNN,5,0.34
205,CNN,6,-0.2732
206,CNN,7,-0.461
207,CNN,8,0.3089
208,CNN,9,-0.4404
209,CNN,10,-0.4767
210,CNN,11,0.0
211,CNN,12,0.4019
212,CNN,13,0.6249
213,CNN,14,-0.0772
214,CNN,15,-0.7783
215,CNN,16,0.34
216,CNN,17,0.2263
217,CNN,18,-0.4215
218,CNN,19,0.2263
219,CNN,20,0.0772
220,CNN,21,0.4767
221,CNN,22,0.0
222,CNN,23,-0.2732
223,CNN,24,0.0
224,CNN,25,0.3818
225,CNN,26,-0.5423
226,CNN,27,0.0
227,CNN,28,0.0
228,CNN,29,0.8268
229,CNN,30,0.0
230,CNN,31,0.2023
231,CNN,32,0.0
232,CNN,33,-0.2382
233,CNN,34,-0.4767
234,CNN,35,0.4019
235,CNN,36,-0.296
236,CNN,37,0.4549
237,CNN,38,0.6369
238,CNN,39,-0.296
239,CNN,40,0.5267
240,CNN,41,-0.128
241,CNN,42,-0.128
